zip,state,value,latitude,longitude,county
12137,new york,0,42.862695,-74.11759,montgomery
7748,new jersey,3050,40.410213,-74.11718,monmouth
7410,new jersey,1865,40.933943,-74.11671,bergen
10310,new york,3000,40.63212,-74.11551,richmond
7450,new jersey,32181,40.983997,-74.11438,bergen
8006,new jersey,125,39.75196,-74.11074,ocean
7070,new jersey,2278,40.828922,-74.11064,bergen
12548,new york,0,41.664239,-74.1106,ulster
12498,new york,115,42.037356,-74.11016,ulster
8724,new jersey,0,40.087794,-74.10981,ocean
12491,new york,1000,41.998199,-74.10967,ulster
7057,new jersey,0,40.852931,-74.10925,bergen
7026,new jersey,2000,40.879858,-74.10807,bergen
7758,new jersey,0,40.427561,-74.1069,monmouth
12419,new york,0,41.852449,-74.10605,ulster
12856,new york,0,43.722082,-74.10546,warren
12423,new york,0,42.378679,-74.10443,greene
8720,new jersey,4200,40.14386,-74.10286,monmouth
7423,new jersey,1571,41.001695,-74.10239,bergen
12436,new york,0,42.19551,-74.102319,greene
7073,new jersey,5200,40.830158,-74.09707,bergen
12969,new york,0,44.711622,-74.09679,franklin
7458,new jersey,23135,41.054568,-74.09616,bergen
12561,new york,0,41.751566,-74.09475,ulster
7663,new jersey,500,40.904131,-74.09474,bergen
10301,new york,5700,40.631775,-74.09432,richmond
12056,new york,500,42.767853,-74.09083,schenectady
10304,new york,5280,40.60787,-74.08991,richmond
7305,new jersey,6000,40.701302,-74.08843,hudson
7075,new jersey,0,40.847638,-74.08754,bergen
7718,new jersey,0,40.415902,-74.08689,monmouth
7072,new jersey,0,40.836555,-74.08466,bergen
7495,new jersey,500,40.948054,-74.083231,bergen
10953,new york,0,41.409284,-74.083045,orange
7644,new jersey,0,40.877999,-74.08265,bergen
8752,new jersey,0,39.920268,-74.07967,ocean
7662,new jersey,3950,40.906553,-74.07797,bergen
7701,new jersey,71900,40.352953,-74.07703,monmouth
12472,new york,0,41.846938,-74.07602,ulster
8751,new jersey,0,39.948518,-74.0759,ocean
10952,new york,20700,41.116162,-74.07556,rockland
7311,new jersey,1000,40.73235,-74.075391,hudson
7604,new jersey,2000,40.86289,-74.07506,bergen
10305,new york,16075,40.599021,-74.07503,richmond
12405,new york,0,42.320081,-74.07288,greene
7304,new jersey,1035,40.716452,-74.07253,hudson
12486,new york,0,41.831082,-74.07207,ulster
7652,new jersey,5750,40.947107,-74.07047,bergen
7724,new jersey,964,40.301979,-74.06889,monmouth
12443,new york,0,41.92674,-74.06797,ulster
8735,new jersey,0,39.982101,-74.06768,ocean
7306,new jersey,1750,40.733751,-74.06582,hudson
12515,new york,0,41.681096,-74.06421,ulster
7702,new jersey,1000,40.329128,-74.06315,monmouth
7607,new jersey,0,40.90503,-74.06279,bergen
8730,new jersey,0,40.108433,-74.06226,monmouth
7676,new jersey,1250,40.989508,-74.061302,bergen
12811,new york,0,43.62422,-74.061201,warren
10911,new york,0,41.160945,-74.060826,orange
7737,new jersey,0,40.416772,-74.06058,monmouth
12920,new york,0,44.901543,-74.06054,clinton
12989,new york,0,44.519178,-74.06053,franklin
8742,new jersey,520,40.081165,-74.06003,ocean
7094,new jersey,2500,40.7885,-74.06,hudson
7608,new jersey,0,40.853723,-74.05987,bergen
7677,new jersey,2500,41.025101,-74.059762,bergen
12553,new york,2915,41.46359,-74.05975,orange
7074,new jersey,0,40.841668,-74.059,bergen
8736,new jersey,1750,40.120261,-74.05765,monmouth
8738,new jersey,200,40.025258,-74.05579,ocean
12059,new york,0,42.621933,-74.05574,albany
12074,new york,0,43.068203,-74.05526,saratoga
12150,new york,0,42.876756,-74.05452,schenectady
7753,new jersey,2362,40.208945,-74.05261,monmouth
12193,new york,0,42.515818,-74.04978,albany
7307,new jersey,6100,40.748001,-74.04943,hudson
7601,new jersey,16173,40.888678,-74.0488,bergen
7703,new jersey,0,40.309121,-74.0486,monmouth
7302,new jersey,12735,40.721602,-74.04703,hudson
7719,new jersey,800,40.175357,-74.04694,monmouth
7606,new jersey,1750,40.863699,-74.04643,bergen
10970,new york,455,41.192394,-74.04523,rockland
10977,new york,7250,41.116795,-74.04504,rockland
7642,new jersey,2950,41.007389,-74.04247,bergen
8750,new jersey,5900,40.133754,-74.04123,monmouth
10004,new york,32040,40.699226,-74.04118,new york
7643,new jersey,0,40.850621,-74.04112,bergen
12550,new york,44713,41.521593,-74.04072,orange
7656,new jersey,41,41.034672,-74.04065,bergen
7739,new jersey,4250,40.33517,-74.04059,monmouth
7645,new jersey,0,41.048997,-74.04052,bergen
12471,new york,0,41.83962,-74.04033,ulster
7310,new jersey,1200,40.731901,-74.0402,hudson
12411,new york,0,41.87916,-74.03995,ulster
12851,new york,0,43.841369,-74.03747,essex
